"success"	"trial_type"	"trial_index"	"time_elapsed"	"internal_node_id"	"participant_id"	"screen_height"	"screen_width"	"browser"	"browser_version"	"mobile"	"os"	"vsync_rate"	"width"	"height"	"webaudio"	"fullscreen"	"webcam"	"microphone"	"screen"	"version"	"date"	"time"	"timeout"	"failed_images"	"failed_audio"	"failed_video"	"rt"	"stimulus"	"response"	"trial_duration"	"block"	"correct_response"	"prestimulus_duration"	"correct"	"type"	"illusion_strength"	"illusion_difference"	"block_number"	"trial_number"
"TRUE"	"fullscreen"	"0"	"1466"	"0.0-0.0"	"khrdz6"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.66"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"NULL"	"NULL"	"NULL"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"browser-check"	"1"	"2473"	"0.0-1.0"	"khrdz6"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.66"	"1366"	"600"	"TRUE"	"TRUE"	"TRUE"	"TRUE"	"browser_info"	"1.0"	"23/12/2022"	"11:29:29"	n/a	"NULL"	"NULL"	"NULL"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
"TRUE"	"preload"	"2"	"2492"	"0.0-2.0"	"khrdz6"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.66"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"FALSE"	"list()"	"list()"	"list()"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"html-button-response"	"3"	"65959"	"0.0-3.0-0.0"	"khrdz6"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.66"	n/a	n/a	n/a	n/a	n/a	n/a	"illusion_instructions"	n/a	n/a	n/a	n/a	"NULL"	"NULL"	"NULL"	"63466"	"<p><b>Illusion Game</b></p><p>In this game of speed and reflex, you will need to make <b>visual judgments</b> (for instance, which circle is the biggest, or which line is the longest), as fast and as correctly as possible, while <b>resisting different visual illusions</b>.</p><p>We are going to start with some examples of all the illusions you will encounter in the game.</p>"	"0"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
"TRUE"	"preload"	"4"	"65987"	"0.0-3.0-1.0-0.0"	"khrdz6"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.66"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"FALSE"	"list()"	"list()"	"list()"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"html-keyboard-response"	"5"	"87935"	"0.0-3.0-1.0-1.0"	"khrdz6"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.66"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"NULL"	"NULL"	"NULL"	"21947"	"<p><b>Practice</b></p><p>In this part, two red circles will appear side by side on the screen.</p><p>Your task is to select which <b>red circle is bigger</b> in size as fast as you can, without making errors.</p><p>Don't get distracted by the surrounding black circles around the red circles!</p><p>Press <b>the LEFT or the RIGHT arrow</b> to indicate which is the bigger <b>red circle.</b></p><div style='float: center'><img src='materials/instructions/Ebbinghaus_Demo.png' height='300'></img><p><img src='utils/answer/answer_leftright_keyboard.PNG' height='150'></img></p><p class='small'>In this example, the correct answer is the <b>LEFT arrow</b>.</p></div><p>Are you ready? <b>Press ENTER to start</b></p>"	"enter"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"html-keyboard-response"	"6"	"89805"	"0.0-3.0-1.0-2.0-0.0"	"khrdz6"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.66"	n/a	n/a	n/a	n/a	n/a	n/a	"fixation"	n/a	n/a	n/a	n/a	"NULL"	"NULL"	"NULL"	n/a	"<p style=\"color: black; font-size: 80px; padding-left: 7%; padding-right: 35%; padding-top: 50%; padding-bottom: 48%\">+</p>"	n/a	"1359"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"image-keyboard-response"	"7"	"90730"	"0.0-3.0-1.0-2.0-1.0"	"khrdz6"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.66"	n/a	n/a	n/a	n/a	n/a	n/a	"Trial"	n/a	n/a	n/a	n/a	"NULL"	"NULL"	"NULL"	"915"	"stimuli/Ebbinghaus_0000000_-1.4000.png"	"arrowright"	n/a	"Ebbinghaus"	"arrowright"	"1870"	"TRUE"	"Ebbinghaus"	"000000000000"	"-1.400000000"	"1"	"1"
n/a	"html-keyboard-response"	"8"	"92049"	"0.0-3.0-1.0-2.0-0.1"	"khrdz6"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.66"	n/a	n/a	n/a	n/a	n/a	n/a	"fixation"	n/a	n/a	n/a	n/a	"NULL"	"NULL"	"NULL"	n/a	"<p style=\"color: black; font-size: 80px; padding-left: 13%; padding-right: 20%; padding-top: 5%; padding-bottom: 40%\">+</p>"	n/a	"1311"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"image-keyboard-response"	"9"	"92864"	"0.0-3.0-1.0-2.0-1.1"	"khrdz6"	"600"	"1366"	"chrome"	"108.0.0"	"FALSE"	"Windows 10"	"60.66"	n/a	n/a	n/a	n/a	n/a	n/a	"Trial"	n/a	n/a	n/a	n/a	"NULL"	"NULL"	"NULL"	"813"	"stimuli/Ebbinghaus_-100000_1.40000.png"	"arrowleft"	n/a	"Ebbinghaus"	"arrowleft"	"1319"	"TRUE"	"Ebbinghaus"	"-10000000000"	"1.4000000000"	"1"	"2"
