"success"	"trial_type"	"trial_index"	"time_elapsed"	"internal_node_id"	"participant_id"	"screen_height"	"screen_width"	"browser"	"browser_version"	"mobile"	"os"	"vsync_rate"	"subject_id"	"width"	"height"	"webaudio"	"fullscreen"	"webcam"	"microphone"	"screen"	"version"	"date"	"time"	"rt"	"response"	"timeout"	"failed_images"	"failed_audio"	"failed_video"	"stimulus"	"trial_duration"	"block"	"correct_response"	"prestimulus_duration"	"correct"	"type"	"illusion_strength"	"illusion_difference"	"block_number"	"trial_number"
"TRUE"	"fullscreen"	"0"	"513832902"	"0.0-0.0"	"y3hbu8"	"563"	"952"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"61.54"	"006"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"browser-check"	"1"	"513833903"	"0.0-1.0"	"y3hbu8"	"563"	"952"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"61.54"	"006"	"952"	"563"	"TRUE"	"TRUE"	"TRUE"	"TRUE"	"browser_info"	"1.0"	"20/01/2023"	"11:13:49"	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"survey-text"	"2"	"521283164"	"0.0-2.0"	"y3hbu8"	"563"	"952"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"61.54"	"006"	n/a	n/a	n/a	n/a	n/a	n/a	"subject_id"	n/a	n/a	n/a	"7450858"	"list(subject_id = \"006\")"	n/a	"NULL"	"NULL"	"NULL"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
"TRUE"	"preload"	"3"	"521283181"	"0.0-3.0"	"y3hbu8"	"563"	"952"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"61.54"	"006"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"NULL"	"FALSE"	"list()"	"list()"	"list()"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"html-button-response"	"4"	"521376395"	"0.0-4.0-0.0"	"y3hbu8"	"563"	"952"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"61.54"	"006"	n/a	n/a	n/a	n/a	n/a	n/a	"illusion_instructions"	n/a	n/a	n/a	"93212"	"0"	n/a	"NULL"	"NULL"	"NULL"	"<p><b>Illusion Game</b></p><p>In this game of speed and reflex, you will need to make <b>visual judgments</b> (for instance, which circle is the biggest, or which line is the longest), as fast and as correctly as possible, while <b>resisting different visual illusions</b>.</p><p>We are going to start with some examples of all the illusions you will encounter in the game.</p>"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
"TRUE"	"preload"	"5"	"521376420"	"0.0-4.0-1.0-0.0"	"y3hbu8"	"563"	"952"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"61.54"	"006"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"NULL"	"FALSE"	"list()"	"list()"	"list()"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"html-keyboard-response"	"6"	"521397668"	"0.0-4.0-1.0-1.0"	"y3hbu8"	"563"	"952"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"61.54"	"006"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"21245"	"enter"	n/a	"NULL"	"NULL"	"NULL"	"<p><b>Practice</b></p><p>In this part, two red circles will appear side by side on the screen.</p><p>Your task is to select which <b>red circle is bigger</b> in size as fast as you can, without making errors.</p><p>Don't get distracted by the surrounding black circles around the red circles!</p><p>Press <b>the LEFT or the RIGHT arrow</b> to indicate which is the bigger <b>red circle.</b></p><div style='float: center'><img src='materials/instructions/Ebbinghaus_Demo.png' height='300'></img><p><img src='utils/answer/answer_leftright_keyboard.PNG' height='150'></img></p><p class='small'>In this example, the correct answer is the <b>LEFT arrow</b>.</p></div><p>Are you ready? <b>Press ENTER to start</b></p>"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"html-keyboard-response"	"7"	"521399665"	"0.0-4.0-1.0-2.0-0.0"	"y3hbu8"	"563"	"952"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"61.54"	"006"	n/a	n/a	n/a	n/a	n/a	n/a	"fixation"	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	"<p style=\"color: black; font-size: 80px; padding-left: 19%; padding-right: 20%; padding-top: 4%; padding-bottom: 35%\">+</p>"	"1475"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"image-keyboard-response"	"8"	"521401111"	"0.0-4.0-1.0-2.0-1.0"	"y3hbu8"	"563"	"952"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"61.54"	"006"	n/a	n/a	n/a	n/a	n/a	n/a	"Trial"	n/a	n/a	n/a	"1430"	"arrowright"	n/a	"NULL"	"NULL"	"NULL"	"stimuli/Ebbinghaus_0000000_-1.4000.png"	n/a	"Ebbinghaus"	"arrowright"	"1997"	"TRUE"	"Ebbinghaus"	"000000000000"	"-1.400000000"	"1"	"1"
n/a	"html-keyboard-response"	"9"	"521402294"	"0.0-4.0-1.0-2.0-0.1"	"y3hbu8"	"563"	"952"	"chrome"	"109.0.0"	"FALSE"	"Windows 10"	"61.54"	"006"	n/a	n/a	n/a	n/a	n/a	n/a	"fixation"	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	"<p style=\"color: black; font-size: 80px; padding-left: 28%; padding-right: 23%; padding-top: 19%; padding-bottom: 7%\">+</p>"	"1171"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
