"success"	"trial_type"	"trial_index"	"time_elapsed"	"internal_node_id"	"participant_id"	"screen_height"	"screen_width"	"browser"	"browser_version"	"mobile"	"os"	"vsync_rate"	"subject_id"	"width"	"height"	"webaudio"	"fullscreen"	"webcam"	"microphone"	"screen"	"version"	"date"	"time"	"rt"	"response"	"timeout"	"failed_images"	"failed_audio"	"failed_video"	"stimulus"	"trial_duration"	"block"	"correct_response"	"prestimulus_duration"	"correct"	"type"	"illusion_strength"	"illusion_difference"	"block_number"	"trial_number"
"TRUE"	"fullscreen"	"0"	"2228"	"0.0-0.0"	"d401oh"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.31"	"059"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"browser-check"	"1"	"3243"	"0.0-1.0"	"d401oh"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.31"	"059"	"1366"	"600"	"TRUE"	"TRUE"	"TRUE"	"TRUE"	"browser_info"	"1.0"	"27/03/2023"	"10:55:01"	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"survey-text"	"2"	"10603"	"0.0-2.0"	"d401oh"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.31"	"059"	n/a	n/a	n/a	n/a	n/a	n/a	"subject_id"	n/a	n/a	n/a	"7356"	"list(subject_id = \"059\")"	n/a	"NULL"	"NULL"	"NULL"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
"TRUE"	"preload"	"3"	"10614"	"0.0-3.0"	"d401oh"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.31"	"059"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"NULL"	"FALSE"	"list()"	"list()"	"list()"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"html-button-response"	"4"	"86480"	"0.0-4.0-0.0"	"d401oh"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.31"	"059"	n/a	n/a	n/a	n/a	n/a	n/a	"illusion_instructions"	n/a	n/a	n/a	"75853"	"0"	n/a	"NULL"	"NULL"	"NULL"	"<p><b>Illusion Game</b></p><p>In this game of speed and reflex, you will need to make <b>visual judgments</b> (for instance, which circle is the biggest, or which line is the longest), as fast and as correctly as possible, while <b>resisting different visual illusions</b>.</p><p>We are going to start with some examples of all the illusions you will encounter in the game.</p>"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
"TRUE"	"preload"	"5"	"86505"	"0.0-4.0-1.0-0.0"	"d401oh"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.31"	"059"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"NULL"	"FALSE"	"list()"	"list()"	"list()"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"html-keyboard-response"	"6"	"108569"	"0.0-4.0-1.0-1.0"	"d401oh"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.31"	"059"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"22062"	"enter"	n/a	"NULL"	"NULL"	"NULL"	"<p><b>Practice</b></p><p>In this part, two red circles will appear side by side on the screen.</p><p>Your task is to select which <b>red circle is bigger</b> in size as fast as you can, without making errors.</p><p>Don't get distracted by the surrounding black circles around the red circles!</p><p>Press <b>the LEFT or the RIGHT arrow</b> to indicate which is the bigger <b>red circle.</b></p><div style='float: center'><img src='materials/instructions/Ebbinghaus_Demo.png' height='300'></img><p><img src='utils/answer/answer_leftright_keyboard.PNG' height='150'></img></p><p class='small'>In this example, the correct answer is the <b>LEFT arrow</b>.</p></div><p>Are you ready? <b>Press ENTER to start</b></p>"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"html-keyboard-response"	"7"	"110546"	"0.0-4.0-1.0-2.0-0.0"	"d401oh"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.31"	"059"	n/a	n/a	n/a	n/a	n/a	n/a	"fixation"	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	"<p style=\"color: black; font-size: 80px; padding-left: 33%; padding-right: 42%; padding-top: 8%; padding-bottom: 32%\">+</p>"	"1459"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"image-keyboard-response"	"8"	"111445"	"0.0-4.0-1.0-2.0-1.0"	"d401oh"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.31"	"059"	n/a	n/a	n/a	n/a	n/a	n/a	"Trial"	n/a	n/a	n/a	"889"	"arrowleft"	n/a	"NULL"	"NULL"	"NULL"	"stimuli/Ebbinghaus_1000000_1.40000.png"	n/a	"Ebbinghaus"	"arrowleft"	"1977"	"TRUE"	"Ebbinghaus"	"100000000000"	"1.4000000000"	"1"	"1"
n/a	"html-keyboard-response"	"9"	"112560"	"0.0-4.0-1.0-2.0-0.1"	"d401oh"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.31"	"059"	n/a	n/a	n/a	n/a	n/a	n/a	"fixation"	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	"<p style=\"color: black; font-size: 80px; padding-left: 35%; padding-right: 2%; padding-top: 45%; padding-bottom: 14%\">+</p>"	"1100"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	"image-keyboard-response"	"10"	"113464"	"0.0-4.0-1.0-2.0-1.1"	"d401oh"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.31"	"059"	n/a	n/a	n/a	n/a	n/a	n/a	"Trial"	n/a	n/a	n/a	"903"	"arrowleft"	n/a	"NULL"	"NULL"	"NULL"	"stimuli/Ebbinghaus_-100000_1.40000.png"	n/a	"Ebbinghaus"	"arrowleft"	"1115"	"TRUE"	"Ebbinghaus"	"-10000000000"	"1.4000000000"	"1"	"2"
n/a	"html-keyboard-response"	"11"	"114835"	"0.0-4.0-1.0-2.0-0.2"	"d401oh"	"600"	"1366"	"chrome"	"111.0.0"	"FALSE"	"Windows 10"	"60.31"	"059"	n/a	n/a	n/a	n/a	n/a	n/a	"fixation"	n/a	n/a	n/a	n/a	"NULL"	n/a	"NULL"	"NULL"	"NULL"	"<p style=\"color: black; font-size: 80px; padding-left: 5%; padding-right: 46%; padding-top: 28%; padding-bottom: 14%\">+</p>"	"1365"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
